minority,female,ses,mathach,size,sector,pracad,disclim,himinty,schoolid,mean,sd,sdalt,junk,sdalt2,num,se,sealt,sealt2,t2,t2alt,pickone,mmses,mnses,xb,resid
0,1,-1.528,5.8759999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,45.71077,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,1,-.43438298,-.43438298,10.137589,-4.2615886
0,1,-.588,19.708,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,49.999413,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,9.5704117
0,0,-.528,20.349001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,59.475361,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,10.211412
0,0,-.66799998,8.7810001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,14.868533,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-1.3565884
0,0,-.15800001,17.898001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,27.678404,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,7.7604122
0,0,.022,4.5830002,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,64.866486,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-5.5545883
0,1,-.61799997,-2.832,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,239.28915,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-12.969588
0,0,-.99800003,.523,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,146.74835,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-9.6145887
0,1,-.88800001,1.527,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,123.43152,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-8.6105881
0,0,-.458,21.521,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,78.925926,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,11.383411
0,1,-1.448,9.4750004,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,9.9980764,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-.66258812
0,1,-.65799999,16.056999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,11.696573,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,5.9194107
0,0,-.46799999,21.177999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,72.949127,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,11.040411
0,1,-.98799998,20.177999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,56.867069,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,10.040411
0,0,.33199999,20.349001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,59.475361,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,10.211412
0,1,-.67799997,20.507999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,61.953045,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,10.370411
0,0,-.29800001,19.337999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,44.903744,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,9.2004108
1,0,-1.528,4.145,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,72.113617,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-5.9925885
0,1,.041999999,2.927,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,94.283585,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-7.2105885
0,0,-.078000002,16.405001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,14.198027,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,6.2674122
0,1,.061999999,13.653,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,1.0323092,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,3.5154114
0,1,-.12800001,6.5580001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,36.953922,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-3.5795884
0,1,.472,9.6529999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,8.9041004,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-.48458862
0,0,-.46799999,3.154,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,89.926796,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-6.9835882
1,1,-1.248,4.7529998,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,62.157047,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-5.3845887
0,0,-.62800002,21.721001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,82.519554,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,11.583412
0,1,.83200002,5.1659999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,55.815453,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-4.9715886
0,1,-.56800002,6.3990002,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,38.912315,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-3.7385883
0,1,-.25799999,6.8210001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,33.82555,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-3.3165884
0,1,-.138,9.2550001,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,11.437746,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-.88258839
0,1,-.47799999,3.7449999,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,79.067192,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-6.3925886
0,1,-.94800001,.85799998,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,138.74422,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-9.2795887
0,1,.28200001,11.542,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,1.1989679,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,1.4044113
0,1,-.118,13.255,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,.38195652,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,3.1174116
0,0,-.87800002,10.557,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,4.3262906,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,.41941166
0,0,-.93800002,.86799997,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,138.50873,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-9.2695885
0,0,-.54799998,8.2959995,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,18.844059,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-1.841589
1,0,.142,-1.688,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,205.20488,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-11.825588
0,1,.972,2.059,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,111.89352,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-8.0785885
0,0,.37200001,6.7140002,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,35.081615,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-3.4235883
1,0,-1.658,.122,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,156.62457,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-10.015589
0,1,-1.068,2.381,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,105.185,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,-7.7565885
0,1,-.248,16.336,842,0,.34999999,1.597,0,1224,9.7154465,7.5927849,6.2563276,13.682797,48.393635,47,1.1075215,.91257918,1.0147176,6.9584985,8.2895231,0,-.43438298,-.43438298,10.137589,6.1984119
